pipeline,scene,goal_type,goal_id,trial,success,planning_time_s,wall_time_s,traj_duration_s,error_code
ompl,floor_obstacle,pose,rand05,1,True,0.024893958,0.03240762697532773,4.666647092,1
ompl,floor_obstacle,pose,rand06,1,False,0.0,5.017376246978529,nan,99999
ompl,floor_obstacle,pose,rand07,1,False,0.0,5.015597283025272,nan,99999
ompl,floor_obstacle,pose,rand08,1,True,0.02690447,0.046142869046889246,10.215402343,1
ompl,floor_obstacle,pose,rand09,1,False,0.0,5.025967104942538,nan,99999
ompl,floor_obstacle,pose,rand10,1,True,0.014583433,0.046659858082421124,17.733506041,1
ompl,floor_obstacle,pose,rand11,1,False,0.0,5.084472795017064,nan,99999
ompl,floor_obstacle,joint,home1,2,True,0.016514528,0.025873473030515015,0.0,1
ompl,floor_obstacle,joint,home2,2,False,0.0,0.016003226046450436,nan,99999
ompl,floor_obstacle,joint,home3,2,False,0.0,0.016318692942149937,nan,99999
ompl,floor_obstacle,pose,reach0,2,True,0.022087122,0.02929228893481195,2.905350598,1
ompl,floor_obstacle,pose,reach1,2,True,0.037949403,0.05602217500563711,12.170648267,1
ompl,floor_obstacle,pose,reach2,2,False,0.036901911,0.06124444503802806,18.769716698,-2
ompl,floor_obstacle,pose,reach3,2,True,0.015219131,0.030528072034940124,12.580111636,1
ompl,floor_obstacle,pose,rand00,2,False,0.0,5.019179573981091,nan,99999
ompl,floor_obstacle,pose,rand01,2,True,0.04644849,0.0650864279596135,13.668348255,1
ompl,floor_obstacle,pose,rand02,2,False,0.020702243000000002,0.04782575601711869,16.77016449,-2
ompl,floor_obstacle,pose,rand03,2,True,0.16931124199999997,0.39536551700439304,13.833176443,1
ompl,floor_obstacle,pose,rand04,2,True,0.026077795,0.0412567249732092,12.671813215,1
ompl,floor_obstacle,pose,rand05,2,True,0.025173262000000002,0.04143881192430854,13.20251111,1
ompl,floor_obstacle,pose,rand06,2,False,0.0,5.026334155933,nan,99999
ompl,floor_obstacle,pose,rand07,2,False,0.0,5.21572009997908,nan,99999
ompl,floor_obstacle,pose,rand08,2,True,0.018441479,0.02909061696846038,6.547775797,1
ompl,floor_obstacle,pose,rand09,2,False,0.0,5.027265778044239,nan,99999
ompl,floor_obstacle,pose,rand10,2,True,0.020228593,0.033735161065123975,10.966855979,1
ompl,floor_obstacle,pose,rand11,2,False,0.0,5.083134996006265,nan,99999
ompl,floor_obstacle,joint,home1,3,True,0.012393734,0.018629102036356926,0.0,1
ompl,floor_obstacle,joint,home2,3,False,0.0,0.03167332801967859,nan,99999
ompl,floor_obstacle,joint,home3,3,False,0.0,0.020905277924612164,nan,99999
ompl,floor_obstacle,pose,reach0,3,True,0.02332576,0.03008293197490275,2.9433771010000003,1
ompl,floor_obstacle,pose,reach1,3,True,0.034903257,0.04731869394890964,9.711954174,1
ompl,floor_obstacle,pose,reach2,3,True,0.029649802,0.043660086928866804,11.944198737,1
ompl,floor_obstacle,pose,reach3,3,True,0.026964929999999998,0.03651067800819874,6.511904164,1
ompl,floor_obstacle,pose,rand00,3,False,0.0,5.0288526569493115,nan,99999
ompl,floor_obstacle,pose,rand01,3,True,0.017852948,0.026156047941185534,1.9492339520000002,1
ompl,floor_obstacle,pose,rand02,3,True,0.016027819000000002,0.033081062021665275,12.75528533,1
ompl,floor_obstacle,pose,rand03,3,True,0.220218974,0.4253393749240786,10.917184003,1
ompl,floor_obstacle,pose,rand04,3,True,0.020047034000000002,0.036148171056993306,11.674338029,1
ompl,floor_obstacle,pose,rand05,3,True,0.022454365,0.031905814073979855,4.551444198,1
ompl,floor_obstacle,pose,rand06,3,False,0.0,5.016643212991767,nan,99999
ompl,floor_obstacle,pose,rand07,3,False,0.0,5.018309795996174,nan,99999
ompl,floor_obstacle,pose,rand08,3,True,0.019294725000000002,0.034673306974582374,12.070268113,1
ompl,floor_obstacle,pose,rand09,3,False,0.0,5.02639087906573,nan,99999
ompl,floor_obstacle,pose,rand10,3,True,0.027955492,0.053889933973550797,14.446879548,1
ompl,floor_obstacle,pose,rand11,3,False,0.0,5.1077469430165365,nan,99999
ompl,floor_obstacle,joint,home1,4,True,0.012582546,0.018874998087994754,0.0,1
